Date,equity_strategy,equity_benchmark,daily_ret_strategy,daily_ret_benchmark
2020-10-02,102065.24574162348,99050.5446677536,-0.00593503885621599,-0.009494553322464072
2020-10-05,103464.94471850744,100807.03751669203,0.013713766784310534,0.017733298235060202
2020-10-06,102382.73760208565,99373.96793332709,-0.010459650071491567,-0.0142159676414223
2020-10-07,105980.57072939938,101103.72838489538,0.035141013139312796,0.01740657525851086
2020-10-08,107912.86660802826,101999.76735065768,0.01823254833721005,0.008862570946455373
2020-10-09,108468.45030998373,102910.64473409062,0.005148447255817123,0.008930190794470105
2020-10-12,108930.34508827786,104566.21309730565,0.004258332971238121,0.016087435536846773
2020-10-13,110613.30689126682,103883.79116922375,0.015449889575077473,-0.006526218248401827
2020-10-14,110348.59199528887,103231.08481908802,-0.0023931559720765123,-0.006283043223484941
2020-10-15,112367.74721854934,103103.49573555306,0.018297969976333796,-0.0012359560471398856
2020-10-16,112598.44667391763,103041.16856994556,0.002053075380425429,-0.0006045106925118837
2020-10-19,112130.68344648473,101474.61134145204,-0.004154260038662259,-0.015203216832989641
2020-10-20,112095.71175899908,101881.07938059485,-0.0003118832991180591,0.004005613165396493
2020-10-21,109860.98187693105,101688.2283791324,-0.01993590876047614,-0.001892903006474933
2020-10-22,111498.55010172058,102246.01534730177,0.014905821856061357,0.005485265866661759
2020-10-23,111342.62543901756,102593.16845836685,-0.0013984456529772932,0.0033952727633042024
2020-10-26,109400.20613037747,100697.25066010133,-0.017445423987275787,-0.01847996145118469
2020-10-27,108538.9970418948,100350.12660598992,-0.00787209749364016,-0.0034472048823170898
2020-10-28,106215.24416877184,96920.24379558973,-0.021409382217029618,-0.03417915777891456
2020-10-29,105126.89266721794,97905.29389607353,-0.01024666007286637,0.010163512408835063
2020-10-30,103739.24208772322,96884.62965604993,-0.013199767864226282,-0.010425015843444019
2020-11-02,104837.46207910634,97970.55581400101,0.010586350635321227,0.011208446188071708
2020-11-03,107705.2258341705,99700.33563687178,0.027354379800803186,0.017656119315631713
2020-11-04,107389.11555641801,101928.57781418292,-0.0029349576615640477,0.02234939494513677
2020-11-05,110423.29431386659,103916.44149948991,0.028254062264387942,0.01950251566278971
2020-11-06,112420.15434093717,103892.71165399831,0.018083684601862396,-0.0002283550624826436
2020-11-09,113487.18269406968,105198.20183947952,0.009491432914213355,0.012565753311252204
2020-11-10,113523.61293024513,105043.92878683055,0.00032100749450862946,-0.0014664989510407844
2020-11-11,114288.1539172476,105824.23390615243,0.006734642840095671,0.007428369524386191
2020-11-12,113171.98767316571,104797.65173323275,-0.009766246157848176,-0.009700823100973976
2020-11-13,115223.12090065842,106248.52354354197,0.018124036430430663,0.013844506878861074
2020-11-16,116788.17347358464,107574.75070828744,0.01358279970801635,0.0124823114760928
2020-11-17,118097.60582134312,106996.22676085378,0.011212028656777263,-0.005377878578612161
2020-11-18,117525.93630789754,105708.51943101444,-0.004840652860570277,-0.012035072346219033
2020-11-19,118862.4248687268,106153.58479027318,0.011371860568103985,0.0042103073778190225
2020-11-20,119936.15940038995,105426.63792352806,0.009033422739347638,-0.006848067054742613
2020-11-23,121545.11534574568,106058.60729439948,0.01341510311318601,0.005994399359769309
2020-11-24,123666.2573421355,107767.62108105229,0.017451478739857633,0.016113862233820386
2020-11-25,123187.5775189608,107601.4734200063,-0.0038707391447158407,-0.0015417215243253013
2020-11-27,122240.32895477068,107901.14746878577,-0.007689481222603838,0.002785036665898799
2020-11-30,120017.07589893643,107423.45115056331,-0.01818755786117759,-0.004427166248261116
2020-12-01,120691.80381277025,108598.39812888711,0.005621932619004955,0.010937527753386078
2020-12-02,120943.48068150895,108826.86326988938,0.0020852855023123524,0.002103761611023991
2020-12-03,122952.15593824889,108797.1961201993,0.016608379760704565,-0.0002726086997152377
2020-12-04,123598.48906486439,109734.75747274626,0.005256785630827937,0.00861751392481791
2020-12-07,123310.93744683923,109509.26582666887,-0.0023264978415250682,-0.0020548789760928
2020-12-08,124461.12909189422,109829.68654036382,0.009327571980797355,0.0029259689696223834
2020-12-09,123127.41347898812,108844.65581118249,-0.010715920887407034,-0.008968711103617077
2020-12-10,123602.1623433211,108809.0610429451,0.003855752759835328,-0.000327023572927021
2020-12-11,122692.66191527375,108681.44290245647,-0.007358288971685717,-0.0011728631721052984
2020-12-14,123036.21536744125,108194.86484206431,0.0028001140965116505,-0.004477103426284823
2020-12-15,125421.48175823329,109657.58220381687,0.019386701579438066,0.013519286371749262
2020-12-16,120481.88651767158,109829.68654036381,-0.039383964942173444,0.0015694704651343372
2020-12-17,121686.6392804316,110443.86336994216,0.00999945134975395,0.0055920839704175496
2020-12-18,121988.03360948527,110002.8756698475,0.0024768070745966307,-0.003992867386552135
2020-12-21,123412.59169446818,109609.56074506287,0.011677851038596792,-0.0035754967530583492
2020-12-22,123554.59355666429,109424.80694802123,0.0011506270166311019,-0.001685562790196271
2020-12-23,125418.32008612744,109523.16473617105,0.015084235039860262,0.0008988618841845319
2020-12-24,125188.29686099135,109949.24621903652,-0.0018340480479894074,0.003890332094510285
2020-12-28,122240.58037164995,110893.78124046263,-0.02354626241632265,0.008590645719793732
2020-12-29,120183.80414771759,110682.24661779478,-0.016825641842333556,-0.0019075426980811327
2020-12-30,122370.96065966922,110840.14210400042,0.018198429709076196,0.0014265656058725096
2020-12-31,121348.28969691385,111403.3239798999,-0.008357137651305798,0.0050810280933333285
2021-01-04,120811.3033104914,109886.66722649724,-0.00442516650019245,-0.013614106825719952
2021-01-05,123703.83108190606,110643.51369856176,0.02394252600669892,0.006887518669617121
2021-01-06,126435.45405452487,111304.97587740129,0.022081959376102002,0.005978318626445933
2021-01-07,128769.25014431319,112958.71365253553,0.018458399246004696,0.014857716486599726
2021-01-08,128871.1116109087,113602.30580487225,0.0007910387494012574,0.005697587477106136
2021-01-11,130872.99947459268,112836.54853368438,0.015534031162299133,-0.006740684229624372
2021-01-12,135366.0365609293,112860.3461787345,0.03433127615607897,0.00021090369529530584
2021-01-13,135471.21712484077,113164.29159970245,0.0007770085213667489,0.0026931108335126464
2021-01-14,137055.90383828618,112767.99349434175,0.011697589695271259,-0.0035019713352912873
2021-01-15,136027.6052865729,111945.60422046436,-0.007502767286308002,-0.007292754339187968
2021-01-19,138703.52909642234,112824.59644007758,0.01967191735980337,0.007851958330423958
2021-01-20,142325.77798572948,114385.96215951662,0.026115044893984526,0.013838877059651589
2021-01-21,140814.05551153087,114490.21850926007,-0.010621564804305417,0.0009114435703050372
2021-01-22,143024.31623586846,114084.99023347354,0.01569630756183023,-0.0035394139435042105
2021-01-25,143217.40862311286,114534.91778964525,0.0013500668440600096,0.003943792739526275
2021-01-26,141223.45928077068,114356.15941070944,-0.013922534707979807,-0.0015607325904236635
2021-01-27,134589.48274192735,111561.25820871044,-0.046975032141466866,-0.024440320629876444
2021-01-28,137932.17499139332,112520.6800760633,0.024836206970759576,0.008599955600697706
2021-01-29,135466.95609798274,110268.05911462876,-0.017872689193543182,-0.02001961737088498
2021-02-01,137653.63616379022,112103.52876362366,0.01614179670668818,0.01664552422281096
2021-02-02,139708.81573038088,113688.69212811283,0.014930078302801061,0.014140173658864663
